,fl_date,mkt_carrier,mkt_carrier_fl_num,origin,dest,predicted_delay
375,2020-01-01,AA,1879,CLT,MCO,-1.2973009182658704
376,2020-01-01,NK,1101,CLT,MCO,2.688246818623364
377,2020-01-01,AA,1586,CLT,MCO,-0.7437825935994538
378,2020-01-01,AA,2092,CLT,MCO,4.861283899522168
379,2020-01-01,AA,1695,CLT,MCO,2.7282248347869147
380,2020-01-01,AA,1842,CLT,MCO,-1.3183761094192625
381,2020-01-01,AA,1849,CLT,MCO,3.3362258507556772
382,2020-01-01,F9,1051,CLT,MCO,1.1861290165772693
383,2020-01-01,AA,2468,CLT,MCO,0.27114914069686535
384,2020-01-01,AA,561,CLT,MCO,0.64580570066114
385,2020-01-01,NK,156,IAH,MCO,5.417238385689029
386,2020-01-01,UA,2103,IAH,MCO,5.221552204340521
387,2020-01-01,UA,1980,IAH,MCO,3.681405883645464
388,2020-01-01,UA,1707,IAH,MCO,1.3340461857003698
389,2020-01-01,UA,1660,IAH,MCO,1.1981035810144758
390,2020-01-01,UA,1644,IAH,MCO,1.4339481575820616
391,2020-01-01,NK,830,IAH,MCO,3.0981000910568905
392,2020-01-01,NK,832,IAH,MCO,0.8826669713762537
398,2020-01-01,UA,686,IAH,MCO,0.4060815132879308
399,2020-01-01,UA,413,IAH,MCO,4.938489306954014
423,2020-01-01,NK,251,ATL,MCO,6.9424417657695585
424,2020-01-01,NK,565,ATL,MCO,11.401477109274865
425,2020-01-01,DL,768,ATL,MCO,3.0654304605894085
426,2020-01-01,DL,897,ATL,MCO,4.025615405470379
427,2020-01-01,DL,969,ATL,MCO,1.7117805623655564
428,2020-01-01,DL,1043,ATL,MCO,-1.3747252539905193
429,2020-01-01,DL,1107,ATL,MCO,1.6879247635944354
430,2020-01-01,DL,1121,ATL,MCO,-1.4455626707185385
431,2020-01-01,DL,1166,ATL,MCO,-1.6461237302713045
432,2020-01-01,DL,1171,ATL,MCO,3.853451656255572
433,2020-01-01,DL,1418,ATL,MCO,6.109470727806634
434,2020-01-01,DL,1585,ATL,MCO,0.16986490446632316
435,2020-01-01,DL,1883,ATL,MCO,1.4290418382085148
436,2020-01-01,DL,1905,ATL,MCO,3.537161975159827
437,2020-01-01,DL,2018,ATL,MCO,7.109517078732598
438,2020-01-01,DL,2172,ATL,MCO,3.742205921726941
439,2020-01-01,WN,3526,ATL,MCO,-1.4303810871652687
440,2020-01-01,WN,3774,ATL,MCO,4.094834908887679
441,2020-01-01,WN,3941,ATL,MCO,7.005405188372642
442,2020-01-01,WN,4219,ATL,MCO,-1.2615546932308792
443,2020-01-01,WN,4413,ATL,MCO,4.088210363313388
444,2020-01-01,B6,1153,ATL,MCO,-2.788976223968326
445,2020-01-01,F9,1010,ATL,MCO,-2.3094377768791863
446,2020-01-01,F9,101,ATL,MCO,-3.439365136185687
447,2020-01-01,DL,2703,ATL,MCO,6.0467885251869
451,2020-01-01,NK,117,DTW,MCO,2.2496363360447584
452,2020-01-01,NK,337,DTW,MCO,6.116993420120801
453,2020-01-01,NK,801,DTW,MCO,1.008158055005417
454,2020-01-01,NK,899,DTW,MCO,2.7864389199696347
455,2020-01-01,DL,1061,DTW,MCO,7.217851752519233
456,2020-01-01,DL,2128,DTW,MCO,3.8049633082357537
457,2020-01-01,F9,2930,DTW,MCO,-1.3945975000289872
458,2020-01-01,DL,2228,DTW,MCO,7.696849444462073
459,2020-01-01,DL,2272,DTW,MCO,0.40914855889064283
460,2020-01-01,DL,2880,DTW,MCO,1.7569585365681848
536,2020-01-01,AA,2914,LAX,MCO,104.66752074789046
537,2020-01-01,UA,2410,LAX,MCO,100.37362867457476
538,2020-01-01,UA,2024,LAX,MCO,21.80784433599211
539,2020-01-01,DL,1579,LAX,MCO,13.238341193793609
540,2020-01-01,AA,2757,LAX,MCO,21.282318551458598
541,2020-01-01,B6,132,LAX,MCO,68.02484887919371
542,2020-01-01,AA,2279,LAX,MCO,69.82870353836059
543,2020-01-01,AA,2361,LAX,MCO,20.861682498974798
544,2020-01-01,DL,2620,LAX,MCO,23.595660781338378
561,2020-01-01,NK,135,MSP,MCO,2.5302859472654684
562,2020-01-01,DL,431,MSP,MCO,3.0590784366678014
563,2020-01-01,DL,939,MSP,MCO,6.607518777571199
564,2020-01-01,DL,1044,MSP,MCO,3.1892601529091165
565,2020-01-01,DL,1261,MSP,MCO,4.289423441361848
566,2020-01-01,F9,1134,MSP,MCO,-1.8347261238996604
567,2020-01-01,NK,726,LAS,MCO,10.06678134980766
568,2020-01-01,WN,4575,LAS,MCO,9.954666019749768
569,2020-01-01,F9,1102,LAS,MCO,-0.46833042209768216
570,2020-01-01,NK,1159,EWR,MCO,7.8756136819503455
571,2020-01-01,NK,139,EWR,MCO,1.54675141000964
572,2020-01-01,NK,149,EWR,MCO,6.40607288275729
573,2020-01-01,UA,2403,EWR,MCO,5.692228737136023
574,2020-01-01,UA,2334,EWR,MCO,1.6541573277403543
575,2020-01-01,UA,2248,EWR,MCO,1.4229976055181328
576,2020-01-01,UA,1527,EWR,MCO,5.049769231877087
577,2020-01-01,B6,1627,EWR,MCO,0.2113519870594932
578,2020-01-01,B6,1827,EWR,MCO,0.7390373831694288
579,2020-01-01,B6,2227,EWR,MCO,-0.24308937054264718
580,2020-01-01,F9,1259,EWR,MCO,-4.427891703271501
581,2020-01-01,F9,1261,EWR,MCO,-0.8466679715695807
582,2020-01-01,B6,27,EWR,MCO,-4.781345992163865
583,2020-01-01,B6,127,EWR,MCO,1.929214648856082
584,2020-01-01,B6,227,EWR,MCO,0.17924552269183802
585,2020-01-01,B6,327,EWR,MCO,0.33542955237794486
586,2020-01-01,B6,927,EWR,MCO,1.3388506095473158
587,2020-01-01,UA,1417,EWR,MCO,0.8869675789227409
588,2020-01-01,UA,1149,EWR,MCO,9.850810040125637
589,2020-01-01,UA,800,EWR,MCO,2.0385256107730108
590,2020-01-01,UA,730,EWR,MCO,3.025145809716833
591,2020-01-01,UA,434,EWR,MCO,1.0931625683362702
592,2020-01-01,UA,380,EWR,MCO,2.4269570609179585
593,2020-01-01,NK,1852,DEN,MCO,0.4660406978460926
594,2020-01-01,UA,2009,DEN,MCO,4.672679801202204
595,2020-01-01,WN,3010,DEN,MCO,10.39911623141332
596,2020-01-01,WN,3170,DEN,MCO,2.5537326717847026
597,2020-01-01,WN,6277,DEN,MCO,3.7956824965279896
598,2020-01-01,F9,678,DEN,MCO,-3.9381887483546762
599,2020-01-01,F9,682,DEN,MCO,-2.276756449140815
600,2020-01-01,UA,543,DEN,MCO,1.2491507610968609
601,2020-01-01,UA,421,DEN,MCO,12.118719817140004
602,2020-01-01,UA,293,DEN,MCO,1.2107782012675956
603,2020-01-01,UA,259,DEN,MCO,3.560182390681945
680,2020-01-01,AA,739,PHX,ORD,53.316210187010626
681,2020-01-01,AA,801,PHX,ORD,16.5560584941
682,2020-01-01,AA,883,PHX,ORD,20.869773445285983
683,2020-01-01,AA,891,PHX,ORD,19.981107899780767
684,2020-01-01,NK,1168,PHX,ORD,19.969488726594395
685,2020-01-01,UA,2000,PHX,ORD,20.54014363759368
686,2020-01-01,UA,1756,PHX,ORD,9.11637257000964
687,2020-01-01,AA,1583,PHX,ORD,15.205052984290216
688,2020-01-01,AA,1597,PHX,ORD,54.895678531893765
689,2020-01-01,AA,615,PHX,ORD,21.179692563783586
690,2020-01-01,AA,2765,PHX,ORD,51.02327710420677
691,2020-01-01,F9,1426,PHX,ORD,8.971037395453633
692,2020-01-01,UA,920,PHX,ORD,45.43810235727136
693,2020-01-01,UA,843,PHX,ORD,54.31854620277113
694,2020-01-01,UA,656,PHX,ORD,6.68984674545507
695,2020-01-01,UA,523,PHX,ORD,54.934815786795724
796,2020-01-01,UA,2287,SEA,ORD,1.348966851991197
797,2020-01-01,AA,1540,SEA,ORD,-0.5482954095023841
798,2020-01-01,AA,1045,SEA,ORD,-1.597006771266153
799,2020-01-01,AA,1165,SEA,ORD,-1.6320189789387782
800,2020-01-01,DL,1291,SEA,ORD,3.634695607809097
801,2020-01-01,AS,26,SEA,ORD,1.7330884862544098
802,2020-01-01,AS,28,SEA,ORD,1.1442607379979157
803,2020-01-01,AS,34,SEA,ORD,1.9774082817017824
804,2020-01-01,AS,1010,SEA,ORD,1.2339454210359526
805,2020-01-01,AS,1122,SEA,ORD,0.5119535722857682
806,2020-01-01,UA,670,SEA,ORD,-0.8849965936472612
807,2020-01-01,UA,614,SEA,ORD,8.056455093692499
808,2020-01-01,UA,278,SEA,ORD,1.7781161533023675
810,2020-01-01,UA,1961,SFO,ORD,5.802149891541271
811,2020-01-01,UA,1800,SFO,ORD,4.810772754367857
812,2020-01-01,AA,215,SFO,ORD,12.082558083460748
813,2020-01-01,AA,345,SFO,ORD,5.187690416935337
814,2020-01-01,AS,604,SFO,ORD,8.371273548160616
815,2020-01-01,AS,1208,SFO,ORD,8.416298701993213
816,2020-01-01,AA,2614,SFO,ORD,2.504626135465701
817,2020-01-01,AA,2634,SFO,ORD,2.108622897887213
818,2020-01-01,AA,2691,SFO,ORD,3.782560845201157
819,2020-01-01,UA,995,SFO,ORD,11.42760615779335
820,2020-01-01,UA,794,SFO,ORD,2.4516432109603183
821,2020-01-01,UA,780,SFO,ORD,2.305179528444005
822,2020-01-01,UA,705,SFO,ORD,0.7456514254925146
823,2020-01-01,UA,680,SFO,ORD,8.68632259200682
824,2020-01-01,UA,639,SFO,ORD,4.198282369398495
825,2020-01-01,UA,624,SFO,ORD,5.43613706669081
826,2020-01-01,UA,390,SFO,ORD,1.674039057867969
827,2020-01-01,UA,214,SFO,ORD,12.486951227756062
910,2020-01-01,UA,5834,LGA,ORD,-0.28889466910620837
911,2020-01-01,UA,5854,LGA,ORD,-0.9546375933904736
912,2020-01-01,UA,5937,LGA,ORD,-0.8460525043367878
913,2020-01-01,UA,2010,LGA,ORD,0.09973801963838318
914,2020-01-01,UA,1953,LGA,ORD,7.164376122605376
915,2020-01-01,UA,1709,LGA,ORD,0.38671397423933773
918,2020-01-01,UA,4392,LGA,ORD,-1.618103737145283
920,2020-01-01,AA,357,LGA,ORD,0.11651560316596657
921,2020-01-01,NK,847,LGA,ORD,2.31113325382232
922,2020-01-01,DL,1902,LGA,ORD,3.066549477706764
923,2020-01-01,UA,3594,LGA,ORD,-0.7506379792774198
931,2020-01-01,AA,2461,LGA,ORD,5.815746064676414
932,2020-01-01,AA,2269,LGA,ORD,6.119961346613572
933,2020-01-01,DL,2816,LGA,ORD,5.78110390036048
934,2020-01-01,UA,600,LGA,ORD,1.945172189730272
935,2020-01-01,UA,519,LGA,ORD,4.553254609537145
942,2020-01-01,AA,737,CLT,ORD,4.63793578184607
943,2020-01-01,AA,1017,CLT,ORD,-0.29077460926430587
944,2020-01-01,AA,1883,CLT,ORD,-0.08464060892956979
945,2020-01-01,UA,5365,CLT,ORD,-1.999555592161761
946,2020-01-01,AA,2080,CLT,ORD,4.158566940337719
947,2020-01-01,UA,3404,CLT,ORD,-1.0915442951998566
948,2020-01-01,UA,3466,CLT,ORD,-2.0169333829559855
949,2020-01-01,UA,3469,CLT,ORD,-2.6559265680285917
950,2020-01-01,UA,4033,CLT,ORD,-3.975392948657597
954,2020-01-01,AA,583,CLT,ORD,-1.657801682949677
955,2020-01-01,AA,1650,CLT,ORD,0.2474320117500299
956,2020-01-01,AA,1668,CLT,ORD,1.7229870725515202
957,2020-01-01,AA,2817,CLT,ORD,2.943310199872203
958,2020-01-01,AA,2488,CLT,ORD,-1.9706140108030883
959,2020-01-01,AA,3978,IAH,ORD,-2.1667206693135834
960,2020-01-01,NK,200,IAH,ORD,1.9265148413316597
961,2020-01-01,UA,2155,IAH,ORD,0.4257854698629418
962,2020-01-01,UA,2153,IAH,ORD,0.27673873720089526
963,2020-01-01,UA,2131,IAH,ORD,4.477212834860673
964,2020-01-01,UA,1899,IAH,ORD,1.5239624252580506
965,2020-01-01,UA,1854,IAH,ORD,7.929798715017331
966,2020-01-01,UA,1631,IAH,ORD,1.2382551497373258
967,2020-01-01,AA,1224,IAH,ORD,4.641886941478732
968,2020-01-01,AA,1315,IAH,ORD,-0.5077665549566711
969,2020-01-01,NK,500,IAH,ORD,1.3152537441788568
976,2020-01-01,UA,1403,IAH,ORD,4.266422007945888
977,2020-01-01,UA,228,IAH,ORD,1.151340824951169
1140,2020-01-01,AA,4154,ATL,ORD,-3.3969005010958484
1141,2020-01-01,AA,1574,ATL,ORD,0.9102854387417187
1142,2020-01-01,NK,762,ATL,ORD,11.268793362535225
1143,2020-01-01,DL,738,ATL,ORD,1.9292463153885604
1144,2020-01-01,DL,805,ATL,ORD,2.9633703931413753
1145,2020-01-01,DL,972,ATL,ORD,4.292221452519542
1147,2020-01-01,DL,1264,ATL,ORD,3.635168072510082
1148,2020-01-01,DL,1958,ATL,ORD,3.508443084339067
1149,2020-01-01,UA,3400,ATL,ORD,-2.707613926558648
1150,2020-01-01,UA,3431,ATL,ORD,1.394739020975759
1157,2020-01-01,AA,3521,ATL,ORD,0.4385615884219883
1158,2020-01-01,AA,1691,ATL,ORD,2.716671038578925
1159,2020-01-01,DL,2357,ATL,ORD,5.632891748886517
1162,2020-01-01,UA,1280,ATL,ORD,7.723918327010634
1163,2020-01-01,UA,241,ATL,ORD,6.48295337364185
1164,2020-01-01,UA,4491,ATL,ORD,-0.6484270938694979
1192,2020-01-01,AA,4181,DTW,ORD,-3.3596668088523733
1193,2020-01-01,AA,3023,DTW,ORD,-1.9747684257276288
1194,2020-01-01,AA,3093,DTW,ORD,-5.109191782818188
1197,2020-01-01,UA,5958,DTW,ORD,-3.3946891476029015
1198,2020-01-01,DL,6015,DTW,ORD,-3.595916002016013
1199,2020-01-01,DL,1047,DTW,ORD,1.239353473830421
1200,2020-01-01,DL,1089,DTW,ORD,3.712344778494268
1201,2020-01-01,UA,3495,DTW,ORD,-2.2603769660590984
1202,2020-01-01,UA,4068,DTW,ORD,-1.035083732147396
1206,2020-01-01,AA,3497,DTW,ORD,-2.211825920667671
1207,2020-01-01,UA,558,DTW,ORD,5.4759213530732085
1208,2020-01-01,UA,4602,DTW,ORD,-0.47376649419809247
1489,2020-01-01,AA,18,LAX,ORD,114.16103226621819
1490,2020-01-01,UA,2291,LAX,ORD,88.2550399689116
1491,2020-01-01,UA,2027,LAX,ORD,13.288624879093813
1492,2020-01-01,UA,1962,LAX,ORD,90.48106686317944
1493,2020-01-01,UA,1897,LAX,ORD,14.829674719604181
1494,2020-01-01,AA,256,LAX,ORD,22.05094124572635
1495,2020-01-01,AA,296,LAX,ORD,88.43662650737315
1496,2020-01-01,AA,362,LAX,ORD,1.692035267836355
1497,2020-01-01,AA,1384,LAX,ORD,23.82216303216575
1498,2020-01-01,AA,1598,LAX,ORD,18.93761485922549
1499,2020-01-01,NK,730,LAX,ORD,27.163365136050455
1500,2020-01-01,NK,736,LAX,ORD,19.121659853544518
1506,2020-01-01,AA,2776,LAX,ORD,114.63740907781239
1507,2020-01-01,AS,1232,LAX,ORD,21.454137042408288
1508,2020-01-01,AA,2452,LAX,ORD,17.882688165166115
1509,2020-01-01,AA,426,LAX,ORD,13.318968016348714
1510,2020-01-01,AA,2348,LAX,ORD,10.660680583131073
1511,2020-01-01,UA,910,LAX,ORD,64.51934829444289
1512,2020-01-01,UA,661,LAX,ORD,12.12561743292549
1513,2020-01-01,UA,660,LAX,ORD,88.43662650737315
1514,2020-01-01,UA,613,LAX,ORD,23.12460891577559
1515,2020-01-01,UA,269,LAX,ORD,10.307118265816387
1574,2020-01-01,AA,3217,MSP,ORD,-0.4321135704160202
1575,2020-01-01,AA,3255,MSP,ORD,-2.2187011038424718
1579,2020-01-01,UA,2238,MSP,ORD,0.6936046467065685
1580,2020-01-01,AA,1135,MSP,ORD,2.7405124123930835
1581,2020-01-01,DL,669,MSP,ORD,4.473740922773373
1582,2020-01-01,DL,1790,MSP,ORD,7.068169450416097
1583,2020-01-01,UA,3549,MSP,ORD,-1.7145676079830139
1584,2020-01-01,UA,4143,MSP,ORD,-2.3765179729392893
1591,2020-01-01,AA,3930,MSP,ORD,-0.4337985398935462
1592,2020-01-01,AA,2560,MSP,ORD,3.234500041437134
1593,2020-01-01,DL,2223,MSP,ORD,0.4342186885010916
1594,2020-01-01,UA,1126,MSP,ORD,2.306135589411227
1595,2020-01-01,UA,402,MSP,ORD,4.807589247340498
1596,2020-01-01,UA,226,MSP,ORD,-0.6014128859268407
1599,2020-01-01,AA,168,LAS,ORD,0.6589420433761946
1600,2020-01-01,UA,2224,LAS,ORD,0.07727687613045578
1601,2020-01-01,NK,356,LAS,ORD,8.42132519718331
1602,2020-01-01,NK,446,LAS,ORD,2.551465052372343
1603,2020-01-01,NK,456,LAS,ORD,5.826912194965019
1610,2020-01-01,AA,2775,LAS,ORD,0.7806509285337658
1611,2020-01-01,AA,2258,LAS,ORD,1.568748382283494
1612,2020-01-01,AA,2407,LAS,ORD,3.336754736703111
1613,2020-01-01,UA,637,LAS,ORD,12.189020669147478
1614,2020-01-01,UA,597,LAS,ORD,3.331990529034264
1615,2020-01-01,UA,432,LAS,ORD,0.5072601858198447
1616,2020-01-01,AA,2919,EWR,ORD,2.99692955022135
1617,2020-01-01,AA,803,EWR,ORD,5.168521677451654
1618,2020-01-01,AA,3070,EWR,ORD,-0.7376706185584129
1619,2020-01-01,AA,3173,EWR,ORD,-5.724278592124018
1620,2020-01-01,UA,2075,EWR,ORD,7.876912916881788
1621,2020-01-01,UA,1611,EWR,ORD,0.5011301142410165
1622,2020-01-01,AA,2693,EWR,ORD,0.550753538082039
1623,2020-01-01,UA,1180,EWR,ORD,0.39100425447091314
1624,2020-01-01,UA,977,EWR,ORD,3.293836114919576
1625,2020-01-01,UA,755,EWR,ORD,1.7541728191094523
1626,2020-01-01,UA,426,EWR,ORD,4.657751895302199
1627,2020-01-01,UA,365,EWR,ORD,3.5394894728389907
1628,2020-01-01,UA,2385,DEN,ORD,5.096288370524869
1629,2020-01-01,UA,2070,DEN,ORD,9.328893378012536
1630,2020-01-01,UA,1938,DEN,ORD,5.944475294731606
1631,2020-01-01,AA,317,DEN,ORD,2.637048989984442
1632,2020-01-01,AA,1160,DEN,ORD,0.1716725038309894
1633,2020-01-01,NK,425,DEN,ORD,3.380803859160237
1642,2020-01-01,AA,2771,DEN,ORD,1.1135356710461353
1643,2020-01-01,F9,410,DEN,ORD,0.882457800393019
1644,2020-01-01,AA,2470,DEN,ORD,1.8666891016497982
1645,2020-01-01,UA,1259,DEN,ORD,1.6625467717574682
1646,2020-01-01,UA,1258,DEN,ORD,1.2107557500309332
1647,2020-01-01,UA,682,DEN,ORD,1.6763528198906854
1648,2020-01-01,UA,532,DEN,ORD,1.4866353425152483
1649,2020-01-01,UA,478,DEN,ORD,1.0574873830307374
1650,2020-01-01,UA,336,DEN,ORD,4.335968633571843
1651,2020-01-01,UA,254,DEN,ORD,0.297940860474346
1652,2020-01-01,UA,2096,MCO,ORD,5.013073690925412
1653,2020-01-01,UA,1852,MCO,ORD,3.1866273611277807
1654,2020-01-01,UA,1546,MCO,ORD,4.667220314635981
1655,2020-01-01,AA,1100,MCO,ORD,3.0504187106113663
1656,2020-01-01,AA,1110,MCO,ORD,6.660113390880955
1657,2020-01-01,AA,1232,MCO,ORD,5.605364251070748
1658,2020-01-01,NK,910,MCO,ORD,5.0332088404543445
1659,2020-01-01,NK,912,MCO,ORD,10.907279969657013
1668,2020-01-01,AA,2721,MCO,ORD,4.551658297706649
1669,2020-01-01,F9,105,MCO,ORD,-2.4782221214725397
1670,2020-01-01,AA,2398,MCO,ORD,3.8020367702747238
1671,2020-01-01,UA,1500,MCO,ORD,4.54124122910147
1672,2020-01-01,UA,1464,MCO,ORD,5.890042155914262
1673,2020-01-01,UA,633,MCO,ORD,4.44065295402478
1674,2020-01-01,UA,411,MCO,ORD,3.726613206630765
1675,2020-01-01,UA,272,MCO,ORD,9.541210712775483
2204,2020-01-01,AA,40,ORD,LGA,0.9423781879421333
2205,2020-01-01,UA,5240,ORD,LGA,-1.9179972845445548
2206,2020-01-01,UA,5364,ORD,LGA,-1.2851932609277443
2207,2020-01-01,UA,5941,ORD,LGA,-4.884368223826207
2208,2020-01-01,UA,2422,ORD,LGA,4.832507085770986
2212,2020-01-01,AA,295,ORD,LGA,-0.3916608923357037
2213,2020-01-01,NK,224,ORD,LGA,2.577065319994681
2214,2020-01-01,DL,1964,ORD,LGA,7.019384599348199
2215,2020-01-01,UA,3518,ORD,LGA,-0.8433596240606361
2216,2020-01-01,UA,3653,ORD,LGA,-0.384505757469767
2217,2020-01-01,UA,4292,ORD,LGA,-1.3159862547749364
2226,2020-01-01,AA,2302,ORD,LGA,1.6208519170508169
2227,2020-01-01,DL,3002,ORD,LGA,1.2332553235494677
2228,2020-01-01,UA,1499,ORD,LGA,5.1837041792206024
2229,2020-01-01,UA,692,ORD,LGA,0.7409158146460932
2230,2020-01-01,UA,509,ORD,LGA,2.4950473648853007
2232,2020-01-01,AA,2899,CLT,LGA,0.35882386036950836
2233,2020-01-01,AA,1893,CLT,LGA,-1.0328329550597193
2234,2020-01-01,AA,1942,CLT,LGA,-1.752702594833612
2236,2020-01-01,DL,5907,CLT,LGA,-3.9296815232366127
2237,2020-01-01,DL,5965,CLT,LGA,-1.6292865925920816
2238,2020-01-01,DL,6029,CLT,LGA,-0.966342811759116
2239,2020-01-01,AA,328,CLT,LGA,0.32253967197018857
2240,2020-01-01,AA,2031,CLT,LGA,4.235581539231959
2241,2020-01-01,AA,2068,CLT,LGA,0.4993488449355403
2242,2020-01-01,AA,1049,CLT,LGA,4.201452631350199
2244,2020-01-01,AA,1300,CLT,LGA,-0.5869061448847696
2245,2020-01-01,AA,1746,CLT,LGA,0.4967639094778663
2246,2020-01-01,AA,1788,CLT,LGA,0.4462271616859556
2250,2020-01-01,UA,2179,IAH,LGA,1.1255919907885172
2251,2020-01-01,UA,2094,IAH,LGA,0.5785041282136535
2252,2020-01-01,UA,1573,IAH,LGA,2.510502285924575
2253,2020-01-01,DL,636,IAH,LGA,2.0022031753546643
2254,2020-01-01,UA,4237,IAH,LGA,-1.3858827154865525
2259,2020-01-01,UA,1501,IAH,LGA,4.458435391835861
2260,2020-01-01,UA,1284,IAH,LGA,0.11961504146953757
2261,2020-01-01,UA,488,IAH,LGA,1.8138586417057811
2327,2020-01-01,AA,885,ATL,LGA,4.440301177544892
2329,2020-01-01,DL,1586,ATL,LGA,3.6199913099022045
2330,2020-01-01,DL,1886,ATL,LGA,1.7632190248886965
2336,2020-01-01,WN,2805,ATL,LGA,0.21594699009605572
2337,2020-01-01,WN,4945,ATL,LGA,-2.1805235348467806
2338,2020-01-01,WN,5451,ATL,LGA,4.342746688099713
2339,2020-01-01,WN,6577,ATL,LGA,4.442038575015259
2340,2020-01-01,WN,6769,ATL,LGA,2.5561279324679003
2341,2020-01-01,F9,1510,ATL,LGA,-0.6282655589885797
2342,2020-01-01,AA,4341,ATL,LGA,-2.978700713268271
2343,2020-01-01,AA,4439,ATL,LGA,0.9758393646893052
2346,2020-01-01,DL,2277,ATL,LGA,3.506056196577571
2348,2020-01-01,DL,2362,ATL,LGA,1.0152420597048977
2349,2020-01-01,DL,2400,ATL,LGA,0.7083360130832985
2350,2020-01-01,DL,2418,ATL,LGA,5.74954455388043
2351,2020-01-01,DL,2568,ATL,LGA,3.7169181742646207
2352,2020-01-01,DL,2814,ATL,LGA,5.34442238236123
2353,2020-01-01,DL,2907,ATL,LGA,-2.1879793658916897
2354,2020-01-01,DL,3026,ATL,LGA,3.727018331856858
2363,2020-01-01,AA,4677,DTW,LGA,-3.4848248934292667
2364,2020-01-01,AA,4699,DTW,LGA,-0.7404776299320369
2365,2020-01-01,AA,4708,DTW,LGA,-2.5210986594013822
2367,2020-01-01,NK,316,DTW,LGA,0.2725077535076844
2368,2020-01-01,NK,347,DTW,LGA,4.453688403347308
2369,2020-01-01,DL,451,DTW,LGA,3.599707067765696
2370,2020-01-01,DL,959,DTW,LGA,3.092610183777528
2371,2020-01-01,DL,973,DTW,LGA,0.9333535076966918
2373,2020-01-01,DL,1401,DTW,LGA,0.32864677864922726
2557,2020-01-01,DL,968,MSP,LGA,3.988769143330619
2558,2020-01-01,DL,1596,MSP,LGA,6.2564972867892354
2559,2020-01-01,DL,1784,MSP,LGA,3.9825516780127157
2562,2020-01-01,DL,2096,MSP,LGA,5.541256799436857
2563,2020-01-01,AA,4456,MSP,LGA,-0.6162886068499638
2572,2020-01-01,UA,2214,DEN,LGA,3.8039298927858853
2573,2020-01-01,UA,2121,DEN,LGA,0.5325667397260749
2575,2020-01-01,DL,1965,DEN,LGA,5.029364623528314
2576,2020-01-01,WN,3648,DEN,LGA,4.818703999877703
2577,2020-01-01,WN,4258,DEN,LGA,3.43689450674
2578,2020-01-01,WN,4815,DEN,LGA,6.107203627904856
2579,2020-01-01,WN,5823,DEN,LGA,2.6826657399952643
2582,2020-01-01,DL,2810,DEN,LGA,4.565400079382994
2583,2020-01-01,UA,1274,DEN,LGA,1.9756099795030986
2584,2020-01-01,UA,1013,DEN,LGA,3.1729717818463365
2585,2020-01-01,UA,406,DEN,LGA,0.864541098700434
2586,2020-01-01,UA,347,DEN,LGA,1.290792442227724
